city,county,town,centerLocation,
哈尔滨,道里区,,,
哈尔滨,南岗区,,,
哈尔滨,道外区,,,
哈尔滨,平房区,,,
哈尔滨,松北区,,,
哈尔滨,香坊区,,,
哈尔滨,呼兰区,,,
哈尔滨,阿城区,,,
哈尔滨,双城区,,,
哈尔滨,依兰县,,,
哈尔滨,方正县,,,
哈尔滨,宾县,,,
哈尔滨,巴彦县,,,
哈尔滨,木兰县,,,
哈尔滨,通河县,,,
哈尔滨,延寿县,,,
哈尔滨,尚志市,,,
哈尔滨,五常市,,,
齐齐哈尔,龙沙区,,,
齐齐哈尔,建华区,,,
齐齐哈尔,铁锋区,,,
齐齐哈尔,昂昂溪区,,,
齐齐哈尔,富拉尔基区,,,
齐齐哈尔,碾子山区,,,
齐齐哈尔,梅里斯达斡尔族区,,,
齐齐哈尔,龙江县,,,
齐齐哈尔,依安县,,,
齐齐哈尔,泰来县,,,
齐齐哈尔,甘南县,,,
齐齐哈尔,富裕县,,,
齐齐哈尔,克山县,,,
齐齐哈尔,克东县,,,
齐齐哈尔,拜泉县,,,
齐齐哈尔,讷河市,,,
鸡西市,鸡冠区,,,
鸡西市,恒山区,,,
鸡西市,滴道区,,,
鸡西市,梨树区,,,
鸡西市,城子河区,,,
鸡西市,麻山区,,,
鸡西市,鸡东县,,,
鸡西市,虎林市,,,
鸡西市,密山市,,,
鹤岗市,向阳区,,,
鹤岗市,工农区,,,
鹤岗市,南山区,,,
鹤岗市,兴安区,,,
鹤岗市,东山区,,,
鹤岗市,兴山区,,,
鹤岗市,萝北县,,,
鹤岗市,绥滨县,,,
双鸭山市,尖山区,,,
双鸭山市,岭东区,,,
双鸭山市,四方台区,,,
双鸭山市,宝山区,,,
双鸭山市,集贤县,,,
双鸭山市,友谊县,,,
双鸭山市,宝清县,,,
双鸭山市,饶河县,,,
大庆市,萨尔图区,,,
大庆市,龙凤区,,,
大庆市,让胡路区,,,
大庆市,红岗区,,,
大庆市,大同区,,,
大庆市,肇州县,,,
大庆市,肇源县,,,
大庆市,林甸县,,,
大庆市,杜尔伯特蒙古族自治县,,,
伊春市,伊春区,,,
伊春市,南岔区,,,
伊春市,友好区,,,
伊春市,西林区,,,
伊春市,翠峦区,,,
伊春市,新青区,,,
伊春市,美溪区,,,
伊春市,金山屯区,,,
伊春市,五营区,,,
伊春市,乌马河区,,,
伊春市,汤旺河区,,,
伊春市,带岭区,,,
伊春市,乌伊岭区,,,
伊春市,红星区,,,
伊春市,上甘岭区,,,
伊春市,嘉荫县,,,
伊春市,铁力市,,,
佳木斯市,向阳区,,,
佳木斯市,前进区,,,
佳木斯市,东风区,,,
佳木斯市,郊区,,,
佳木斯市,桦南县,,,
佳木斯市,桦川县,,,
佳木斯市,汤原县,,,
佳木斯市,同江市,,,
佳木斯市,富锦市,,,
佳木斯市,抚远市,,,
七台河市,市辖区,,,
七台河市,新兴区,,,
七台河市,桃山区,,,
七台河市,茄子河区,,,
七台河市,勃利县,,,
牡丹江市,东安区,,,
牡丹江市,阳明区,,,
牡丹江市,爱民区,,,
牡丹江市,西安区,,,
牡丹江市,林口县,,,
牡丹江市,绥芬河市,,,
牡丹江市,海林市,,,
牡丹江市,宁安市,,,
牡丹江市,穆棱市,,,
牡丹江市,东宁市,,,
黑河市,爱辉区,,,
黑河市,嫩江县,,,
黑河市,逊克县,,,
黑河市,孙吴县,,,
黑河市,北安市,,,
黑河市,五大连池市,,,
绥化市,北林区,,,
绥化市,望奎县,,,
绥化市,兰西县,,,
绥化市,青冈县,,,
绥化市,庆安县,,,
绥化市,明水县,,,
绥化市,绥棱县,,,
绥化市,安达市,,,
绥化市,肇东市,,,
绥化市,海伦市,,,
大兴安岭地区,呼玛县,,,
大兴安岭地区,塔河县,,,
大兴安岭地区,漠河县,,,
大兴安岭地区,加格达奇区,,,
大兴安岭地区,松岭区,,,
大兴安岭地区,新林区,,,
大兴安岭地区,呼中区,,,
